Gene	HUGO	Chromosome	Strand	Transcript	TranscriptLength	nIntrons	IntronNb	IntronLength	IntronStart	IntronEnd	canonical
ENSG00000188290	HES4	1	-1	ENST00000428771	1040	2	1	94	934812	934906	1
ENSG00000187608	ISG15	1	1	ENST00000379389	711	1	0	408	948956	949364	1
ENSG00000188157	AGRN	1	1	ENST00000379370	7323	35	1	12815	957842	970657	1
ENSG00000237330	RNF223	1	-1	ENST00000453464	1122	1	0	1441	1007955	1009396	1
ENSG00000131591	C1orf159	1	-1	ENST00000421241	1841	9	0	23957	1027483	1051440	1
ENSG00000205231	TTLL10-AS1	1	-1	ENST00000379317	3532	1	0	2969	1111776	1114745	1
ENSG00000162571	TTLL10	1	1	ENST00000379290	2283	15	12	11491	1120489	1131980	1
ENSG00000186891	TNFRSF18	1	-1	ENST00000328596	851	3	0	893	1140872	1141765	1
ENSG00000186827	TNFRSF4	1	-1	ENST00000379236	1068	6	1	570	1148473	1149043	1
ENSG00000078808	SDF4	1	-1	ENST00000360001	1956	6	1	4500	1159348	1163848	1
ENSG00000176022	B3GALT6	1	1	ENST00000379198	2793	0	-9	-9	-9	-9	1
ENSG00000184163	FAM132A	1	-1	ENST00000330388	1036	7	0	2017	1179877	1181894	1
ENSG00000160087	UBE2J2	1	-1	ENST00000400930	1021	7	3	6036	1192690	1198726	1
ENSG00000162572	SCNN1D	1	1	ENST00000379116	3044	17	11	2234	1223417	1225651	1
ENSG00000131584	ACAP3	1	-1	ENST00000354700	3896	23	0	3626	1239523	1243149	1
ENSG00000169972	PUSL1	1	1	ENST00000379031	1287	7	4	783	1245231	1246014	1
ENSG00000127054	CPSF3L	1	-1	ENST00000540437	2530	18	5	3678	1250998	1254676	1
ENSG00000224051	GLTPD1	1	1	ENST00000343938	2190	2	0	1734	1260482	1262216	1
ENSG00000169962	TAS1R3	1	1	ENST00000339381	3433	5	3	135	1268504	1268639	1
ENSG00000107404	DVL1	1	-1	ENST00000378891	2926	14	0	6138	1278138	1284276	1
ENSG00000162576	MXRA8	1	-1	ENST00000309212	2273	9	0	1752	1292084	1293836	1
ENSG00000175756	AURKAIP1	1	-1	ENST00000338370	1072	2	0	260	1309825	1310085	1
ENSG00000221978	CCNL2	1	-1	ENST00000400809	2305	10	2	2719	1330894	1333613	1
ENSG00000242485	MRPL20	1	-1	ENST00000344843	721	3	2	3553	1337636	1341189	1
ENSG00000235098	ANKRD65	1	-1	ENST00000537107	2014	3	2	503	1354929	1355432	1
ENSG00000205116	TMEM88B	1	1	ENST00000378821	492	1	0	1169	1361765	1362934	1
ENSG00000179403	VWA1	1	1	ENST00000476993	4511	2	1	1597	1372864	1374461	1
ENSG00000215915	ATAD3C	1	1	ENST00000378785	3859	11	10	5676	1398088	1403764	1
ENSG00000160072	ATAD3B	1	1	ENST00000308647	2448	15	0	5185	1407469	1412654	1
ENSG00000197785	ATAD3A	1	1	ENST00000378755	2612	15	14	4595	1464711	1469306	1
ENSG00000205090	TMEM240	1	-1	ENST00000378733	718	3	1	3887	1471177	1475064	1
ENSG00000160075	SSU72	1	-1	ENST00000291386	1290	4	1	19771	1480382	1500153	1
ENSG00000215791	AL645728.2	1	-1	ENST00000539195	2178	1	0	2	1498935	1498937	1
ENSG00000215014	AL645728.1	1	1	ENST00000366221	1019	0	-9	-9	-9	-9	1
ENSG00000236684	AL645728.3	1	1	ENST00000426195	243	1	0	2	1515312	1515314	1
ENSG00000228594	C1orf233	1	-1	ENST00000422725	2085	0	-9	-9	-9	-9	1
ENSG00000197530	MIB2	1	1	ENST00000505820	3305	19	1	6775	1551994	1558769	1
ENSG00000189409	MMP23B	1	1	ENST00000356026	1326	7	0	409	1567753	1568162	1
ENSG00000248333	CDK11B	1	-1	ENST00000407249	2384	20	1	5414	1581409	1586823	1
ENSG00000189339	SLC35E2B	1	-1	ENST00000378662	6261	9	1	14130	1608285	1622415	1
ENSG00000215914	MMP23A	1	1	ENST00000412810	1124	5	1	393	1631953	1632346	1
ENSG00000008128	CDK11A	1	-1	ENST00000404249	2449	19	4	3946	1643839	1647785	1
ENSG00000215790	SLC35E2	1	-1	ENST00000246421	1430	5	0	6020	1671143	1677163	1
ENSG00000008130	NADK	1	-1	ENST00000344463	3663	13	0	12843	1696885	1709728	1
ENSG00000078369	GNB1	1	-1	ENST00000378609	3128	11	0	51582	1770677	1822259	1
ENSG00000078369	GNB1	1	-1	ENST00000434686	684	8	0	50682	1771121	1821803	0
ENSG00000169885	CALML6	1	1	ENST00000307786	1101	5	1	706	1847174	1847880	1
ENSG00000178821	TMEM52	1	-1	ENST00000310991	929	4	2	462	1849870	1850332	1
ENSG00000142609	C1orf222	1	-1	ENST00000493964	2604	20	0	8637	1878493	1887130	1
ENSG00000187730	GABRD	1	1	ENST00000378585	1913	8	0	5451	1950930	1956381	1
ENSG00000067606	PRKCZ	1	1	ENST00000378567	2326	17	3	75671	1991030	2066701	1
ENSG00000067606	PRKCZ	1	1	ENST00000400921	2294	14	0	61333	2005368	2066701	0
ENSG00000067606	PRKCZ	1	1	ENST00000461106	1916	14	0	60987	2005714	2066701	0
ENSG00000067606	PRKCZ	1	1	ENST00000461465	480	5	0	60495	2006206	2066701	0
ENSG00000067606	PRKCZ	1	1	ENST00000470596	788	5	0	60129	2006572	2066701	0
ENSG00000067606	PRKCZ	1	1	ENST00000496325	563	5	0	59883	2006818	2066701	0
ENSG00000067606	PRKCZ	1	1	ENST00000481140	713	5	0	52802	2013899	2066701	0
ENSG00000162585	C1orf86	1	-1	ENST00000378546	729	3	2	3858	2121220	2125078	1
ENSG00000269554	AL590822.2	1	1	ENST00000597060	1943	0	-9	-9	-9	-9	1
ENSG00000203301	AL590822.1	1	-1	ENST00000545087	2261	0	-9	-9	-9	-9	1
ENSG00000157933	SKI	1	1	ENST00000378536	5613	6	0	73243	2161174	2234417	1
ENSG00000157933	SKI	1	1	ENST00000508416	252	1	0	70309	2164108	2234417	0
ENSG00000157933	SKI	1	1	ENST00000478223	294	2	0	54907	2179510	2234417	0
ENSG00000116151	MORN1	1	-1	ENST00000378531	1798	13	9	20582	2268289	2288871	1
ENSG00000269753	AL589739.1	1	1	ENST00000600779	462	0	-9	-9	-9	-9	1
ENSG00000178642	AL513477.1	1	1	ENST00000317490	3110	1	0	3	2316993	2316996	1
ENSG00000157916	RER1	1	1	ENST00000488353	2469	5	1	2195	2328659	2330854	1
ENSG00000157911	PEX10	1	-1	ENST00000288774	2038	5	0	1940	2341890	2343830	1
ENSG00000149527	PLCH2	1	1	ENST00000449969	5450	21	0	10814	2399101	2409915	1
ENSG00000157881	PANK4	1	-1	ENST00000378466	2649	18	0	4664	2453239	2457903	1
ENSG00000197921	HES5	1	-1	ENST00000378453	1306	2	0	100	2461450	2461550	1
ENSG00000157873	TNFRSF14	1	1	ENST00000355716	1707	7	2	1355	2489907	2491262	1
ENSG00000157870	FAM213B	1	1	ENST00000419916	2749	6	2	598	2519231	2519829	1
ENSG00000142606	MMEL1	1	-1	ENST00000378412	2849	23	1	17127	2543643	2560770	1
ENSG00000215912	TTC34	1	-1	ENST00000401094	2222	8	3	123152	2577002	2700154	0
ENSG00000169717	ACTRT2	1	1	ENST00000378404	1420	0	-9	-9	-9	-9	1
ENSG00000256761	AL008733.1	1	-1	ENST00000420957	435	1	0	3	2978756	2978759	1
ENSG00000142611	PRDM16	1	1	ENST00000511072	4282	15	0	116829	2985860	3102689	0
ENSG00000142611	PRDM16	1	1	ENST00000511072	4282	15	1	57613	3103038	3160651	0
ENSG00000142611	PRDM16	1	1	ENST00000511072	4282	15	2	141012	3160701	3301713	0
ENSG00000142611	PRDM16	1	1	ENST00000378391	5447	16	2	141015	3160701	3301716	0
ENSG00000130762	ARHGEF16	1	1	ENST00000378378	3061	14	0	8255	3371375	3379630	1
ENSG00000162591	MEGF6	1	-1	ENST00000356575	5455	36	3	55579	3440810	3496389	1
ENSG00000158109	TPRG1L	1	1	ENST00000378344	2414	4	2	1611	3542453	3544064	1
ENSG00000116213	WRAP73	1	-1	ENST00000270708	1665	11	2	7844	3555386	3563230	1
ENSG00000078900	TP73	1	1	ENST00000378295	5188	13	0	29692	3569205	3598897	1
ENSG00000227372	TP73-AS1	1	-1	ENST00000452079	6358	3	0	2417	3659754	3662171	1
ENSG00000162592	CCDC27	1	1	ENST00000294600	2176	11	3	4391	3673454	3677845	1
ENSG00000235169	SMIM1	1	1	ENST00000444870	546	3	1	2118	3689745	3691863	1
ENSG00000130764	LRRC47	1	-1	ENST00000378251	2648	6	0	8552	3703874	3712426	1
ENSG00000116198	CEP104	1	-1	ENST00000378230	6424	21	19	6804	3732934	3739738	1
ENSG00000169598	DFFB	1	1	ENST00000378209	3028	6	5	10935	3789136	3800071	1
ENSG00000264428	AL691523.1	1	1	ENST00000579705	70	0	-9	-9	-9	-9	1
ENSG00000198912	C1orf174	1	-1	ENST00000361605	1666	3	0	7176	3809560	3816736	1
ENSG00000196581	AJAP1	1	1	ENST00000378190	2383	5	0	56446	4715514	4771960	0
ENSG00000196581	AJAP1	1	1	ENST00000378190	2383	5	1	57154	4772759	4829913	0
ENSG00000216045	AL356693.1	1	-1	ENST00000401226	89	0	-9	-9	-9	-9	1
ENSG00000131697	NPHP4	1	-1	ENST00000378156	4994	29	10	18436	5969273	5987709	1
ENSG00000266687	AL356261.1	1	-1	ENST00000585151	86	0	-9	-9	-9	-9	1
ENSG00000069424	KCNAB2	1	1	ENST00000378083	4142	15	1	21001	6111814	6132815	1
ENSG00000268332	AL035406.1	1	-1	ENST00000594544	81	1	0	690	6100699	6101389	1
ENSG00000116254	CHD5	1	-1	ENST00000262450	9646	41	0	11668	6228337	6240005	1
ENSG00000116251	RPL22	1	-1	ENST00000234875	2078	3	2	6114	6246876	6252990	1
ENSG00000158286	RNF207	1	1	ENST00000377939	3924	17	15	5106	6273243	6278349	1
ENSG00000116237	ICMT	1	-1	ENST00000343813	4771	4	3	6640	6285322	6291962	1
ENSG00000173673	HES3	1	1	ENST00000377898	697	3	2	481	6304689	6305170	1
ENSG00000158292	GPR153	1	-1	ENST00000377893	4082	5	0	5811	6315074	6320885	1
ENSG00000097021	ACOT7	1	-1	ENST00000377855	1614	8	0	35628	6409926	6445554	1
ENSG00000097021	ACOT7	1	-1	ENST00000545482	1294	7	0	53672	6399649	6453321	0
ENSG00000069812	HES2	1	-1	ENST00000377834	4262	3	1	267	6479400	6479667	1
ENSG00000187017	ESPN	1	1	ENST00000377828	3531	12	1	11835	6488479	6500314	1
ENSG00000215788	TNFRSF25	1	-1	ENST00000377782	1632	9	4	1228	6523207	6524435	1
ENSG00000171680	PLEKHG5	1	-1	ENST00000537245	3381	21	1	18835	6537718	6556553	1
ENSG00000162408	NOL9	1	-1	ENST00000377705	6649	11	5	8389	6593501	6601890	1
ENSG00000253022	U6	1	1	ENST00000517213	111	0	-9	-9	-9	-9	1
ENSG00000173662	TAS1R1	1	1	ENST00000333172	2892	5	0	15345	6615624	6630969	1
ENSG00000204859	ZBTB48	1	1	ENST00000377674	2293	10	2	3620	6642359	6645979	1
ENSG00000162413	KLHL21	1	-1	ENST00000377658	4487	3	1	3490	6655617	6659107	1
ENSG00000116273	PHF13	1	1	ENST00000377648	3681	3	1	2945	6676918	6679863	1
ENSG00000041988	THAP3	1	1	ENST00000054650	1366	5	1	3207	6685352	6688559	1
ENSG00000007923	DNAJC11	1	-1	ENST00000377577	3311	15	0	20692	6741097	6761789	1
ENSG00000171735	CAMTA1	1	1	ENST00000303635	8444	22	2	266094	6885270	7151364	1
ENSG00000171735	CAMTA1	1	1	ENST00000303635	8444	22	3	158120	7151431	7309551	1
ENSG00000171735	CAMTA1	1	1	ENST00000303635	8444	22	4	218204	7309686	7527890	1
ENSG00000171735	CAMTA1	1	1	ENST00000303635	8444	22	5	172499	7527961	7700460	1
ENSG00000171735	CAMTA1	1	1	ENST00000303635	8444	22	10	54715	7737793	7792508	1
ENSG00000171735	CAMTA1	1	1	ENST00000557126	486	3	2	62444	6885270	6947714	0
ENSG00000171735	CAMTA1	1	1	ENST00000482934	743	2	0	61030	6885270	6946300	0
ENSG00000207056	U1	1	1	ENST00000384328	165	0	-9	-9	-9	-9	1
ENSG00000237402	CAMTA1-IT1	1	1	ENST00000427317	365	1	0	965	7429177	7430142	1
ENSG00000049245	VAMP3	1	1	ENST00000054666	2205	4	1	3649	7833571	7837220	1
ENSG00000049246	PER3	1	1	ENST00000361923	6203	20	11	8718	7870627	7879345	1
ENSG00000049247	UTS2	1	-1	ENST00000054668	420	4	1	1979	7910982	7912961	1
ENSG00000049249	TNFRSF9	1	-1	ENST00000377507	1923	7	6	12239	7980983	7993222	1
ENSG00000116288	PARK7	1	1	ENST00000493678	1088	6	5	7156	8037798	8044954	1
ENSG00000200344	Y_RNA	1	-1	ENST00000363474	103	0	-9	-9	-9	-9	1
ENSG00000116285	ERRFI1	1	-1	ENST00000377482	3104	3	0	10466	8075752	8086218	1
ENSG00000232848	CTA-215D11.4	1	-1	ENST00000399343	800	1	0	420	8118001	8118421	1
ENSG00000200975	U1	1	-1	ENST00000364105	164	0	-9	-9	-9	-9	1
ENSG00000251977	U6	1	-1	ENST00000516168	107	0	-9	-9	-9	-9	1
ENSG00000162426	SLC45A1	1	1	ENST00000471889	2784	8	0	6120	8378246	8384366	1
ENSG00000252254	Y_RNA	1	1	ENST00000516445	113	0	-9	-9	-9	-9	1
ENSG00000142599	RERE	1	-1	ENST00000337907	8026	23	1	135963	8716500	8852463	1
ENSG00000142599	RERE	1	-1	ENST00000337907	8026	23	4	57038	8617582	8674620	1
ENSG00000142599	RERE	1	-1	ENST00000337907	8026	23	12	56753	8426034	8482787	1
ENSG00000142599	RERE	1	-1	ENST00000400908	5790	22	0	160719	8716500	8877219	0
ENSG00000142599	RERE	1	-1	ENST00000480342	2710	10	0	96990	8716500	8813490	0
ENSG00000142599	RERE	1	-1	ENST00000514428	273	2	0	66787	8617582	8684369	0
ENSG00000221083	SNORA77	1	-1	ENST00000408156	125	0	-9	-9	-9	-9	1
ENSG00000222511	Y_RNA	1	-1	ENST00000410579	99	0	-9	-9	-9	-9	1
ENSG00000074800	ENO1	1	-1	ENST00000234590	1783	11	0	3663	8934976	8938639	1
ENSG00000236269	ENO1-IT1	1	-1	ENST00000414948	744	1	0	1477	8936090	8937567	1
ENSG00000230679	ENO1-AS1	1	1	ENST00000442636	456	1	0	605	8939019	8939624	1
ENSG00000201725	U6	1	-1	ENST00000364855	107	0	-9	-9	-9	-9	1
ENSG00000238249	HMGN2P17	1	1	ENST00000425872	743	0	-9	-9	-9	-9	1
ENSG00000131686	CA6	1	1	ENST00000377436	942	7	1	7695	9009501	9017196	1
ENSG00000197241	SLC2A7	1	-1	ENST00000400906	1539	11	2	3585	9079392	9082977	1
ENSG00000142583	SLC2A5	1	-1	ENST00000377424	4165	11	0	11254	9118309	9129563	1
ENSG00000252404	SCARNA16	1	1	ENST00000516595	184	0	-9	-9	-9	-9	1
ENSG00000180758	GPR157	1	-1	ENST00000377411	5265	3	0	17156	9171548	9188704	1
ENSG00000049239	H6PD	1	1	ENST00000377403	9146	4	2	14976	9307142	9322118	1
ENSG00000252841	Z98044.1	1	1	ENST00000517032	143	0	-9	-9	-9	-9	1
ENSG00000171621	SPSB1	1	1	ENST00000328089	3120	2	0	62672	9353130	9415802	1
ENSG00000171621	SPSB1	1	1	ENST00000450402	822	1	0	61149	9354653	9415802	0
ENSG00000252956	RNA5SP40	1	-1	ENST00000517147	110	0	-9	-9	-9	-9	1
ENSG00000171612	SLC25A33	1	1	ENST00000302692	1448	6	0	13878	9599806	9613684	1
ENSG00000188807	TMEM201	1	1	ENST00000340381	3776	10	0	6847	9649101	9655948	1
ENSG00000171608	PIK3CD	1	1	ENST00000377346	5203	23	0	39665	9711860	9751525	1
ENSG00000179840	C1orf200	1	-1	ENST00000377320	1823	1	0	155	9714101	9714256	1
ENSG00000171603	CLSTN1	1	-1	ENST00000377298	5221	18	0	50249	9833452	9883701	1
ENSG00000178585	CTNNBIP1	1	-1	ENST00000377263	3000	5	0	26357	9943796	9970153	1
ENSG00000162441	LZIC	1	-1	ENST00000377223	2281	7	1	5997	9996685	10002682	1
ENSG00000173614	NMNAT1	1	1	ENST00000377205	3781	4	0	28503	10003573	10032076	1
ENSG00000202415	7SK	1	1	ENST00000365545	319	0	-9	-9	-9	-9	1
ENSG00000162444	RBP7	1	1	ENST00000294435	636	3	0	10239	10057389	10067628	1
ENSG00000225786	AL590639.1	1	-1	ENST00000450492	237	2	0	268	10078282	10078550	1
ENSG00000130939	UBE4B	1	1	ENST00000343090	5267	27	0	38334	10093752	10132086	1
ENSG00000233623	PGAM1P11	1	1	ENST00000416729	680	1	0	299	10119001	10119300	1
ENSG00000201746	U6	1	1	ENST00000364876	107	0	-9	-9	-9	-9	1
ENSG00000054523	KIF1B	1	1	ENST00000263934	6816	46	1	23813	10292492	10316305	1
ENSG00000199562	RNU6-37	1	1	ENST00000362692	107	0	-9	-9	-9	-9	1
ENSG00000142657	PGD	1	1	ENST00000270776	1885	12	4	3792	10464336	10468128	1
ENSG00000175279	APITD1	1	1	ENST00000602787	1469	4	3	10964	10500470	10511434	1
ENSG00000251503	APITD1-CORT	1	1	ENST00000400900	1469	4	3	10964	10500470	10511434	1
ENSG00000241563	CORT	1	1	ENST00000377049	1130	1	0	1055	10510379	10511434	1
ENSG00000160049	DFFA	1	-1	ENST00000377038	6032	5	2	3570	10523677	10527247	1
ENSG00000142655	PEX14	1	1	ENST00000356607	1985	8	2	62941	10596354	10659295	1
ENSG00000142655	PEX14	1	1	ENST00000538836	1393	7	1	103917	10555378	10659295	0
ENSG00000130940	CASZ1	1	-1	ENST00000377022	7936	20	1	55157	10765601	10820758	1
ENSG00000175262	C1orf127	1	-1	ENST00000377004	2761	12	1	6067	11030146	11036213	1
ENSG00000215785	CFL1P6	1	-1	ENST00000400899	494	1	0	327	11051148	11051475	1
ENSG00000264181	AL713997.1	1	-1	ENST00000582090	88	0	-9	-9	-9	-9	1
ENSG00000207213	Y_RNA	1	-1	ENST00000384484	84	0	-9	-9	-9	-9	1
ENSG00000120948	TARDBP	1	1	ENST00000240185	2748	5	1	2879	11074022	11076901	1
ENSG00000009724	MASP2	1	-1	ENST00000400897	2439	10	5	5064	11097868	11102932	1
ENSG00000116649	SRM	1	-1	ENST00000376957	1266	7	2	2043	11116814	11118857	1
ENSG00000171824	EXOSC10	1	-1	ENST00000376936	2808	24	8	4570	11142935	11147505	1
ENSG00000198793	MTOR	1	-1	ENST00000361445	8677	57	27	31741	11227574	11259315	1
ENSG00000225602	MTOR-AS1	1	1	ENST00000445982	705	3	2	3991	11205336	11209327	1
ENSG00000253086	U6	1	1	ENST00000517277	103	0	-9	-9	-9	-9	1
ENSG00000171819	ANGPTL7	1	1	ENST00000376819	2238	4	0	2315	11250012	11252327	1
ENSG00000207451	U6	1	1	ENST00000384720	107	0	-9	-9	-9	-9	1
ENSG00000238173	RPL39P6	1	1	ENST00000448289	150	0	-9	-9	-9	-9	1
ENSG00000120942	UBIAD1	1	1	ENST00000376810	3646	1	0	11584	11334117	11345701	1
ENSG00000238199	UBE2V2P3	1	-1	ENST00000433562	437	1	0	300	11338925	11339225	1
ENSG00000204624	PTCHD2	1	1	ENST00000294484	5215	20	0	21618	11539429	11561047	1
ENSG00000116661	FBXO2	1	-1	ENST00000354287	1560	5	0	3485	11710891	11714376	1
ENSG00000132879	FBXO44	1	1	ENST00000376770	3320	6	5	2259	11718928	11721187	1
ENSG00000116663	FBXO6	1	1	ENST00000376753	1520	5	0	4401	11724312	11728713	1
ENSG00000116670	MAD2L2	1	-1	ENST00000235310	1860	10	0	9397	11742073	11751470	1
ENSG00000162490	DRAXIN	1	1	ENST00000294485	7346	6	0	14396	11751910	11766306	1
ENSG00000177674	AGTRAP	1	1	ENST00000314340	1107	4	0	9568	11796292	11805860	1
ENSG00000215910	C1orf167	1	1	ENST00000433342	4560	20	5	3205	11828376	11831581	1
ENSG00000177000	MTHFR	1	-1	ENST00000376592	7057	10	2	3813	11856456	11860269	1
ENSG00000011021	CLCN6	1	1	ENST00000346436	5583	22	1	8656	11867247	11875903	1
ENSG00000242349	NPPA-AS1	1	1	ENST00000446542	1032	3	0	2497	11901264	11903761	1
ENSG00000175206	NPPA	1	-1	ENST00000376480	855	2	1	1099	11906071	11907170	1
ENSG00000120937	NPPB	1	-1	ENST00000376468	694	2	1	543	11917728	11918271	1
ENSG00000199347	RNU5E-1	1	1	ENST00000362477	120	0	-9	-9	-9	-9	1
ENSG00000201801	RNU5E-4P	1	-1	ENST00000364931	120	0	-9	-9	-9	-9	1
ENSG00000116685	KIAA2013	1	-1	ENST00000376572	2815	2	1	2304	11980389	11982693	1
ENSG00000083444	PLOD1	1	1	ENST00000196061	2940	18	0	13121	11994912	12008033	1
ENSG00000116688	MFN2	1	1	ENST00000235329	4539	18	1	7051	12042171	12049222	1
ENSG00000116691	MIIP	1	1	ENST00000235332	1573	9	3	6116	12082974	12089090	1
ENSG00000202461	Y_RNA	1	-1	ENST00000365591	113	0	-9	-9	-9	-9	1
ENSG00000120949	TNFRSF8	1	1	ENST00000263932	3686	14	0	20803	12123718	12144521	1
ENSG00000201135	U6	1	-1	ENST00000364265	104	0	-9	-9	-9	-9	1
ENSG00000028137	TNFRSF1B	1	1	ENST00000376259	3683	9	0	21627	12227226	12248853	1
ENSG00000252969	SNORA70	1	-1	ENST00000517160	124	0	-9	-9	-9	-9	1
ENSG00000048707	VPS13D	1	1	ENST00000358136	16318	69	64	39174	12476880	12516054	1
ENSG00000239149	SNORA59A	1	1	ENST00000459326	152	0	-9	-9	-9	-9	1
ENSG00000162496	DHRS3	1	-1	ENST00000376223	1723	5	0	36465	12640694	12677159	1
ENSG00000221340	U6atac	1	-1	ENST00000408413	101	0	-9	-9	-9	-9	1
ENSG00000204518	AADACL4	1	1	ENST00000376221	1575	3	1	10444	12711358	12721802	1
ENSG00000188984	AADACL3	1	1	ENST00000359318	1258	3	2	4241	12780948	12785189	1
ENSG00000157330	C1orf158	1	1	ENST00000288048	3764	3	0	9161	12806489	12815650	1
ENSG00000116726	PRAMEF12	1	1	ENST00000357726	1786	2	1	893	12836261	12837154	1
ENSG00000116721	PRAMEF1	1	1	ENST00000332296	2160	3	0	1729	12851623	12853352	1
ENSG00000204513	PRAMEF11	1	-1	ENST00000535591	1839	3	0	2546	12888664	12891210	1
ENSG00000179172	HNRNPCL1	1	-1	ENST00000317869	1108	1	0	211	12908323	12908534	1
ENSG00000120952	PRAMEF2	1	1	ENST00000240189	1642	3	0	1838	12917002	12918840	1
ENSG00000243073	PRAMEF4	1	-1	ENST00000235349	1828	3	0	2740	12943231	12945971	1
ENSG00000187545	PRAMEF10	1	-1	ENST00000235347	1525	3	0	2344	12955703	12958047	1
ENSG00000204510	PRAMEF7	1	1	ENST00000361079	1844	3	0	981	12976507	12977488	1
ENSG00000207434	U6	1	1	ENST00000384703	107	0	-9	-9	-9	-9	1
ENSG00000232423	PRAMEF6	1	-1	ENST00000376192	1537	3	2	112080	12999066	13111146	0
ENSG00000232423	PRAMEF6	1	-1	ENST00000376189	1855	3	0	4973	13002370	13007343	1
ENSG00000204508	PRAMEF22	1	1	ENST00000376187	1446	2	1	1008	13036800	13037808	1
ENSG00000239810	WI2-3308P17.2	1	-1	ENST00000436041	605	0	-9	-9	-9	-9	1
ENSG00000224199	WI2-2994D6.1	1	1	ENST00000457244	1452	2	1	951	13197528	13198479	1
ENSG00000229571	WI2-2994D6.2	1	-1	ENST00000423177	1476	1	0	1751	13217249	13219000	1
ENSG00000204503	PRAMEF3	1	-1	ENST00000376173	2104	2	1	1008	13329406	13330414	1
ENSG00000204502	PRAMEF5	1	1	ENST00000376168	1855	3	0	4973	13359896	13364869	1
ENSG00000207511	U6	1	-1	ENST00000384780	107	0	-9	-9	-9	-9	1
ENSG00000182330	PRAMEF8	1	-1	ENST00000357367	1844	3	0	981	13389727	13390708	1
ENSG00000204501	PRAMEF9	1	1	ENST00000376152	1863	3	0	2734	13421253	13423987	1
ENSG00000204495	PRAMEF13	1	-1	ENST00000376132	2164	3	0	1718	13450861	13452579	1
ENSG00000204491	PRAMEF18	1	-1	ENST00000376126	1440	2	1	1009	13475262	13476271	1
ENSG00000204488	PRAMEF16	1	1	ENST00000376121	1587	2	1	1025	13496545	13497570	1
ENSG00000204486	PRAMEF21	1	1	ENST00000332192	1597	3	0	5809	13516160	13521969	1
